Wall time,Step,Value
1747709660.1687355,1501184,196.57659912109375
1747709677.031599,1503232,196.9963836669922
1747709693.0663054,1505280,197.87171936035156
1747709724.623118,1507328,194.36544799804688
1747709741.36903,1509376,192.69686889648438
1747709758.0774603,1511424,191.5936737060547
1747709775.0305598,1513472,187.5376739501953
1747709791.6994596,1515520,189.11927795410156
1747709807.9942603,1517568,188.21620178222656
1747709824.4775815,1519616,187.42173767089844
1747709841.2313163,1521664,184.72970581054688
1747709857.3970125,1523712,184.95761108398438
1747709873.6111035,1525760,184.291259765625
1747709890.002362,1527808,176.23191833496094
1747709906.144309,1529856,176.57826232910156
1747709921.9303837,1531904,172.0532989501953
1747709938.0927873,1533952,163.66575622558594
1747709954.2636027,1536000,166.40797424316406
1747709970.307345,1538048,163.10140991210938
1747709987.0572658,1540096,156.10035705566406
1747710004.379648,1542144,152.07139587402344
1747710021.8326993,1544192,148.79074096679688
1747710038.9473453,1546240,149.60867309570312
1747710055.5478668,1548288,143.75611877441406
1747710072.1671321,1550336,137.81065368652344
1747710088.9319966,1552384,140.39883422851562
1747710105.9292607,1554432,126.74700164794922
1747710122.6595707,1556480,127.65083312988281
1747710139.6915812,1558528,125.61219787597656
1747710157.1635041,1560576,126.40338134765625
1747710173.8295612,1562624,128.45614624023438
1747710189.7307131,1564672,132.9719696044922
1747710205.693685,1566720,134.91250610351562
1747710221.6974275,1568768,139.91053771972656
1747710237.5560613,1570816,143.80592346191406
1747710253.5189383,1572864,138.4172821044922
1747710269.482993,1574912,135.26133728027344
1747710285.852635,1576960,124.8138656616211
1747710301.749316,1579008,127.13304138183594
1747710318.5173519,1581056,121.45913696289062
1747710335.1025467,1583104,124.23641967773438
1747710351.593269,1585152,130.75689697265625
1747710368.248474,1587200,126.94710540771484
1747710384.9538848,1589248,122.33121490478516
1747710401.3057537,1591296,126.99773406982422
1747710417.8365989,1593344,134.38096618652344
1747710434.5707004,1595392,132.59640502929688
1747710451.0206022,1597440,130.52944946289062
1747710467.3234537,1599488,127.3058853149414
1747710484.0723276,1601536,127.97340393066406
1747710500.442553,1603584,123.54483032226562
1747710516.7780778,1605632,121.68573760986328
1747710533.0316594,1607680,124.47334289550781
1747710549.0762968,1609728,117.36114501953125
1747710565.1711273,1611776,112.7872543334961
1747710581.0860634,1613824,114.45152282714844
1747710597.2581415,1615872,124.10142517089844
1747710613.325418,1617920,126.14285278320312
1747710629.3928528,1619968,130.1543731689453
