rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range
-104.75961041000001,165888,81,1111,149,1207.36,0.0003,0.6973072290420532,0.0314453125,-0.006429693594691343,800,0.8867718577384949,0.0047625094,2.059389352798462,9.078179861232638,-4.232290455698967,0.2
-104.79787042,167936,82,1126,149,1207.36,0.0003,0.7011586427688599,0.125634765625,-0.00882194638834335,810,0.8027359247207642,0.011258479,0.09856961667537689,0.2614658809266984,-4.246720881760121,0.2
-103.53879448000002,169984,83,1142,148,1222.32,0.0003,0.6946519017219543,0.1146484375,-0.00991252677195007,820,0.9083650708198547,0.009093666,0.09153410792350769,0.16323913286905736,-4.2347305312752725,0.2
-103.19666153,172032,84,1157,148,1216.15,0.0003,0.690734326839447,0.1482421875,-0.011854631133610382,830,0.8848193287849426,0.009455605,0.08848289400339127,0.21423870923463256,-4.2048698484897615,0.2
-102.99081469000001,174080,85,1171,148,1237.41,0.0003,0.6889280676841736,0.089306640625,-0.008187040244229138,840,0.7330251932144165,0.0090735,9.00818920135498,16.013807121757416,-4.190723018348217,0.2
-103.15131388,176128,86,1185,148,1237.99,0.0003,0.6872227191925049,0.077734375,-0.009282987116603181,850,0.896676242351532,0.011514889,0.7788330316543579,11.620774511247873,-4.181042712926865,0.2
-101.83464367999999,178176,87,1198,148,1223.6,0.0003,0.6843146085739136,0.091650390625,-0.005353115421894472,860,0.8633222579956055,0.010318216,1.3070573806762695,9.96088916901499,-4.166387404501438,0.2
-101.31302411999997,180224,88,1213,148,1188.13,0.0003,0.6844860911369324,0.107958984375,-0.008390175188833383,870,0.7838335037231445,0.009283052,15.279316902160645,26.504317058250308,-4.15887850522995,0.2
-100.45890918,182272,89,1226,148,1158.35,0.0003,0.6845507621765137,0.03125,-0.006513914486276917,880,0.8571023941040039,0.006219613,25.947790145874023,64.19737208783627,-4.159624789655209,0.2
-100.54094212,184320,90,1241,148,1163.42,0.0003,0.6837197542190552,0.012646484375,-0.004683067904261406,890,0.5290020704269409,0.004770879,41.66289138793945,98.46844630241394,-4.157005700469017,0.2
-101.08995564000001,186368,91,1255,148,1140.96,0.0003,0.6823853254318237,0.080224609375,-0.004913686227519065,900,0.6674265265464783,0.007370706,17.470252990722656,39.397754543274644,-4.150430998206138,0.2
-99.39641058000001,188416,92,1268,148,1115.73,0.0003,0.6824045777320862,0.070751953125,-0.008575646553072146,910,0.8980216383934021,0.010059055,19.74033546447754,29.787772385030983,-4.145907202363015,0.2
-99.08590346000001,190464,93,1284,148,1115.73,0.0003,0.6813783049583435,0.03349609375,-0.00632001620833762,920,0.7249182462692261,0.0061500063,93.49077606201172,70.11954340487719,-4.144091928005219,0.2
-98.73177099,192512,94,1299,148,1103.22,0.0003,0.672235369682312,0.176953125,-0.008737163012847304,930,0.4008626341819763,0.013954584,0.4076409339904785,1.614014037977904,-4.111387228965759,0.2
-97.38046827,194560,95,1313,148,1108.46,0.0003,0.6738249063491821,0.07607421875,-0.009100402495823801,940,0.7264860272407532,0.008850535,11.945902824401855,19.993221231549978,-4.0928039968013765,0.2
-96.65010244000003,196608,96,1326,148,1100.09,0.0003,0.6724661588668823,0.059375,-0.005336129714851268,950,0.8212096691131592,0.007040453,3.3609752655029297,22.846839055418968,-4.092147359251976,0.2
-96.63629944,198656,97,1340,148,1057.0,0.0003,0.6726050972938538,0.14228515625,-0.012671841014525852,960,-0.08173513412475586,0.013950455,18.929752349853516,36.18352979831398,-4.088295969367027,0.2
-96.03299951,200704,98,1354,148,1012.83,0.0003,0.6735531091690063,0.08173828125,-0.011145810011657886,970,0.8744047284126282,0.009298444,12.418383598327637,30.48358961045742,-4.092048057913781,0.2
-96.44364297999999,202752,99,1368,148,1011.57,0.0003,0.6719115972518921,0.062109375,-0.009694974226295016,980,0.9146969318389893,0.006459284,9.168326377868652,25.709468692541122,-4.090132869780064,0.2
-96.56851669999998,204800,100,1382,148,996.9,0.0003,0.6686985492706299,0.17958984375,-0.004889497652766295,990,0.8083021640777588,0.012080986,0.6315608024597168,13.647576604038477,-4.075275048613548,0.2
-96.85055120000001,206848,101,1395,148,973.02,0.0003,0.6724774837493896,0.184228515625,-0.008112020109547303,1000,0.8199303150177002,0.023511656,0.8836588859558105,9.67900752685964,-4.071181152760983,0.2
-97.39149092000001,208896,102,1409,148,936.89,0.0003,0.6728620529174805,0.06279296875,-0.009391825331840664,1010,0.8019262552261353,0.0072079375,26.67911148071289,64.64532485902309,-4.092131538689136,0.2
